time,snd_data_indication_cnt,rcv_data_indication_cnt
2016/11/22 20:49:03,545330,539059
2016/11/22 20:53:03,542209,535035
2016/11/22 20:57:03,545333,538901
2016/11/22 21:01:03,543005,534741
2016/11/22 21:05:03,545466,538991
2016/11/22 21:09:03,542515,534784
2016/11/22 21:13:03,544637,539111
2016/11/22 21:17:03,542626,534643
2016/11/22 21:21:03,545865,539229
2016/11/22 21:25:03,542646,534471
2016/11/22 21:29:03,545358,539314
2016/11/22 21:33:03,541595,535118
2016/11/22 21:37:03,545516,539260
2016/11/22 21:41:03,542566,534437
2016/11/22 21:45:03,545937,539497
2016/11/22 21:49:03,541921,534274
2016/11/22 21:53:03,545068,539496
2016/11/22 21:57:03,542515,534543
2016/11/22 22:01:03,546270,539685
2016/11/22 22:05:03,542137,534089
2016/11/22 22:09:03,545733,539522
2016/11/22 22:13:03,541101,534623
2016/11/22 22:17:03,546037,539887
2016/11/22 22:21:03,542310,533994
2016/11/22 22:25:03,546331,539798
2016/11/22 22:29:03,541735,534003
2016/11/22 22:33:03,545285,539906
2016/11/22 22:37:03,541880,533961
2016/11/22 22:41:03,546531,539815
2016/11/22 22:45:03,541927,533881
2016/11/22 22:49:03,546144,540145
2016/11/22 22:53:03,540960,533837
2016/11/22 22:57:03,546277,539801
2016/11/22 23:01:03,547599,538005
2016/11/22 23:05:03,546474,540081
2016/11/22 23:09:03,541355,533594
2016/11/22 23:13:03,545594,540006
2016/11/22 23:17:03,541625,533662
2016/11/22 23:21:03,546811,540182
2016/11/22 23:25:03,542512,534218
2016/11/22 23:29:03,546310,540303
2016/11/22 23:33:03,540692,533505
2016/11/22 23:37:03,546611,540320
2016/11/22 23:41:03,541622,533341
2016/11/22 23:45:03,546837,540366
2016/11/22 23:49:03,541023,533379
2016/11/22 23:53:03,546069,540583
2016/11/22 23:57:03,541226,533923
2016/11/23 00:01:03,547033,540444
2016/11/23 00:05:03,541160,533235
2016/11/23 00:09:03,546766,540801
2016/11/23 00:13:03,540291,533044
2016/11/23 00:17:03,547093,540704
2016/11/23 00:21:03,541284,532969
2016/11/23 00:25:03,547291,540943
2016/11/23 00:29:03,540665,532852
2016/11/23 00:33:03,546478,540873
2016/11/23 00:37:03,540835,532856
2016/11/23 00:41:03,547564,540913
2016/11/23 00:45:03,540961,532870
2016/11/23 00:49:03,547065,541095
2016/11/23 00:53:03,539871,532682
2016/11/23 00:57:03,547345,540959
2016/11/23 01:01:03,540957,532696
2016/11/23 01:05:03,547510,541049
2016/11/23 01:09:03,540369,532595
2016/11/23 01:13:03,546671,541167
2016/11/23 01:17:03,540679,532642
2016/11/23 01:21:03,547833,541305
2016/11/23 01:25:03,540734,532632
2016/11/23 01:29:03,547362,541301
2016/11/23 01:33:03,539476,532486
2016/11/23 01:37:03,547964,541446
2016/11/23 01:41:03,540492,533150
2016/11/23 01:45:03,547979,541374
2016/11/23 01:49:03,539733,532438
2016/11/23 01:53:03,547382,541574
2016/11/23 01:57:03,539839,532249
2016/11/23 02:01:03,548500,541438
2016/11/23 02:05:03,539852,532205
2016/11/23 02:09:03,548122,541645
2016/11/23 02:13:03,538901,532169
2016/11/23 02:17:03,548395,541633
2016/11/23 02:21:03,539938,532234
2016/11/23 02:25:03,548741,541803
2016/11/23 02:29:03,539307,532126
2016/11/23 02:33:03,547798,542238
2016/11/23 02:37:03,539436,532217
2016/11/23 02:41:03,548955,541763
2016/11/23 02:45:03,539517,532030
2016/11/23 02:49:03,548414,541664
2016/11/23 02:53:03,538562,532036
2016/11/23 02:57:03,497611,480011
2016/11/23 03:01:03,503851,492238
2016/11/23 03:05:03,539118,529821
2016/11/23 03:09:03,529480,519952
2016/11/23 03:13:03,538852,529895
2016/11/23 03:17:03,529736,520052
2016/11/23 03:21:03,539299,529764
2016/11/23 03:25:03,529704,520039
2016/11/23 03:29:03,538741,530104
2016/11/23 03:33:03,529290,520048
2016/11/23 03:37:03,539106,529722
2016/11/23 03:41:03,529775,519994
2016/11/23 03:45:03,539224,529850
2016/11/23 03:49:03,529440,520039
2016/11/23 03:53:03,538924,529974
2016/11/23 03:57:03,529512,519956
2016/11/23 04:01:03,539394,529812
2016/11/23 04:05:03,529485,519890
2016/11/23 04:09:03,539096,529774
2016/11/23 04:13:03,528997,519839
2016/11/23 04:17:03,539409,529937
2016/11/23 04:21:03,529605,519809
2016/11/23 04:25:03,539400,529964
2016/11/23 04:29:03,529155,519789
2016/11/23 04:33:03,539362,530119
2016/11/23 04:37:03,529261,519736
2016/11/23 04:41:03,539674,529887
2016/11/23 04:45:03,529296,519795
2016/11/23 04:49:03,538259,529639
2016/11/23 04:53:03,528545,519484
2016/11/23 04:57:03,539462,530071
2016/11/23 05:01:03,529510,519753
2016/11/23 05:05:03,539379,530569
2016/11/23 05:09:03,529050,519871
2016/11/23 05:13:03,539315,530210
2016/11/23 05:17:03,529278,519865
2016/11/23 05:21:03,539795,530150
2016/11/23 05:25:03,529334,519797
2016/11/23 05:29:03,539313,530048
2016/11/23 05:33:03,528925,519785
2016/11/23 05:37:03,539689,530192
2016/11/23 05:41:03,529547,519845
2016/11/23 05:45:03,539736,530268
2016/11/23 05:49:03,529128,519828
2016/11/23 05:53:03,539224,530106
2016/11/23 05:57:03,529375,519941
2016/11/23 06:01:03,539870,530132
2016/11/23 06:05:03,529240,519762
2016/11/23 06:09:03,539390,530021
2016/11/23 06:13:03,528852,519785
2016/11/23 06:17:03,539511,530082
2016/11/23 06:21:03,529463,519801
2016/11/23 06:25:03,542793,532280
2016/11/23 06:29:03,529064,519707
2016/11/23 06:33:03,550592,536233
2016/11/23 06:37:03,532911,522448
2016/11/23 06:41:03,540193,530406
2016/11/23 06:45:03,529340,519778
2016/11/23 06:49:03,539155,530046
2016/11/23 06:53:03,528904,519665
2016/11/23 06:57:03,539417,530082
2016/11/23 07:01:03,529469,519738
2016/11/23 07:05:03,539714,530733
2016/11/23 07:09:03,528623,519793
2016/11/23 07:13:03,539417,530168
2016/11/23 07:17:03,528882,519688
2016/11/23 07:21:03,540005,530164
2016/11/23 07:25:03,529194,519630
2016/11/23 07:29:03,539434,530212
2016/11/23 07:33:03,528811,519657
2016/11/23 07:37:03,539497,530150
2016/11/23 07:41:03,539025,527049
2016/11/23 07:45:03,540480,530817
2016/11/23 07:49:03,528671,519597
2016/11/23 07:53:03,539578,530127
2016/11/23 07:57:03,528688,519621
2016/11/23 08:01:03,539988,530102
2016/11/23 08:05:03,531240,521217
2016/11/23 08:09:03,539254,530187
2016/11/23 08:13:03,529000,519670
2016/11/23 08:17:03,539275,530210
2016/11/23 08:21:03,529397,519694
2016/11/23 08:25:03,539909,530108
2016/11/23 08:29:03,528983,519931
2016/11/23 08:33:03,539817,530368
2016/11/23 08:37:03,528832,519720
2016/11/23 11:56:16,98901,98064
2016/11/23 12:00:16,48829,52100
2016/11/23 12:04:16,197446,195667
2016/11/23 12:08:16,97979,104581
2016/11/23 12:12:16,294864,292462
2016/11/23 12:16:16,147827,157573
2016/11/23 12:20:16,394466,399783
2016/11/23 12:24:16,199734,216697
2016/11/23 12:28:16,486892,485936
2016/11/23 12:32:16,249997,267820
2016/11/23 12:36:16,579523,575853
2016/11/23 12:40:16,302593,321889
2016/11/23 12:44:16,672176,668666
2016/11/23 12:48:16,359573,382276
2016/11/23 12:52:16,757519,758174
2016/11/23 12:56:16,422072,449445
2016/11/23 13:00:16,826182,832055
2016/11/23 13:04:16,482417,516343
2016/11/23 13:08:16,892256,903191
2016/11/23 13:12:16,547829,586022
2016/11/23 13:16:16,969445,981346
2016/11/23 13:20:16,603837,645842
2016/11/23 13:24:16,1061426,1070092
2016/11/23 13:28:16,652706,698002
2016/11/23 13:32:16,1159668,1165471
2016/11/23 13:36:16,706056,752978
2016/11/23 13:40:16,1254453,1263357
2016/11/23 13:44:16,759111,810977
2016/11/23 13:48:16,1338318,1343838
