date,snd
134826,87946
135226,461801
135626,802284
140026,979771
140426,832074
140826,805604
141226,963276
141626,1016877
142026,1008081
142426,802784
142826,835966
143226,1190949
143626,1046074
144026,695115
144426,803404
144826,1298776
145226,1049294
145626,723167
150026,824107
150426,1191422
150826,977690
151226,842471
151626,860935
152026,901784
152426,1059416
152826,930727
153226,832369
153626,861171
154026,1005619
154426,925904
